City,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age
Wollongong,Bachelors,Clerical,M,M,1,3,0,1,81916,37
Shawnee,Partial College,Clerical,M,M,1,2,1,2,81076,53
West Covina,Bachelors,Clerical,F,S,0,3,0,0,86387,39
Liverpool,Partial College,Skilled Manual,M,M,1,2,1,2,61481,47
Werne,Partial College,Skilled Manual,M,S,1,1,0,0,51804,50
Tacoma,High School,Skilled Manual,F,M,1,2,2,2,61944,50
Redwood City,Partial College,Manual,M,S,1,1,0,0,34919,53
Lavender Bay,Partial College,Skilled Manual,F,M,0,1,0,0,61832,28
Dunkerque,Partial College,Clerical,F,M,1,0,0,2,83834,48
Metz,High School,Manual,M,S,0,1,0,0,26880,48
Redwood City,Partial College,Clerical,F,S,0,1,0,0,77258,26
Lakewood,Bachelors,Management,M,M,1,3,0,0,102698,44
Los Angeles,Bachelors,Management,F,M,1,1,1,2,108198,40
Wollongong,Bachelors,Professional,M,M,1,2,0,2,133762,65
Maidenhead,Partial High School,Manual,M,S,0,1,0,0,30526,34
Maidenhead,Partial High School,Manual,M,S,0,1,0,0,30526,34
Beverly Hills,Partial College,Skilled Manual,F,M,1,2,0,2,56353,54
Puyallup,High School,Clerical,F,S,1,3,1,1,79019,60
Langley,Partial College,Skilled Manual,M,S,0,2,0,0,55387,32
Darmstadt,Bachelors,Management,M,M,1,2,0,2,113276,44
Orly,Partial College,Management,M,S,1,1,0,1,109259,62
El Cajon,High School,Clerical,F,M,1,0,0,2,83845,45
Berlin,High School,Skilled Manual,F,M,1,0,2,2,59527,48
Oak Bay,Bachelors,Management,M,S,1,1,0,1,108360,63
Coronado,Partial College,Clerical,M,M,0,1,0,0,87504,28
Hervey Bay,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,32
Coronado,Bachelors,Professional,F,S,1,2,0,0,137464,36
Drancy,High School,Clerical,M,M,1,2,0,1,87676,35
Frankfurt,Bachelors,Management,M,M,1,3,0,2,104187,59
Findon,Bachelors,Clerical,M,S,0,1,0,0,78222,42
Newcastle,Graduate Degree,Clerical,F,M,1,2,0,1,77383,38
Morangis,High School,Skilled Manual,F,M,1,1,2,2,60700,40
Pantin,High School,Manual,F,S,0,0,0,0,30913,44
West Covina,Partial College,Clerical,F,S,1,2,0,0,86952,46
Sooke,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,47
Berkeley,Partial College,Clerical,M,M,0,0,0,0,77478,27
Lemon Grove,Bachelors,Clerical,M,M,1,2,0,1,78406,37
Kassel,Partial College,Clerical,M,S,0,1,0,0,85318,34
Courbevoie,High School,Skilled Manual,F,S,0,0,0,0,52928,29
Townsville,Bachelors,Clerical,F,S,0,2,0,0,79224,38
Woolston,Partial College,Manual,M,M,0,0,0,1,33076,42
Sèvres,High School,Skilled Manual,F,M,1,1,0,2,56641,39
La Jolla,High School,Manual,M,M,1,0,0,1,27203,43
Saint Ouen,High School,Clerical,F,S,0,3,0,0,77098,38
Paris,Bachelors,Management,M,M,1,3,2,2,103200,36
St. Leonards,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,40
Saint-Denis,Partial College,Manual,F,S,0,1,0,0,25826,51
Lakewood,High School,Manual,M,M,1,0,1,1,30925,43
Newcastle,Partial High School,Manual,F,M,1,1,1,2,30288,54
Oakland,Bachelors,Manual,M,S,0,0,0,0,34685,40
Novato,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,36
Berlin,Partial College,Management,M,S,0,0,0,0,108342,29
Lane Cove,Bachelors,Professional,F,M,1,2,1,1,130385,38
Paris,Partial College,Skilled Manual,F,S,0,2,0,0,58227,40
Suresnes,Partial College,Skilled Manual,M,S,0,1,0,0,52156,30
Cloverdale,Graduate Degree,Professional,M,S,1,2,0,0,131458,39
Oregon City,Partial College,Manual,M,S,0,1,0,0,33510,27
Corvallis,High School,Skilled Manual,F,S,1,1,0,1,56785,58
Paderborn,Partial College,Skilled Manual,F,S,0,1,0,0,58201,31
Palo Alto,Bachelors,Clerical,F,M,1,2,0,1,82359,40
Palo Alto,Bachelors,Clerical,F,M,1,2,0,1,82359,40
Lakewood,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,60
National City,High School,Manual,M,M,1,1,1,2,33167,45
St. Leonards,Partial College,Management,F,S,1,3,0,1,107883,59
Beaverton,High School,Clerical,F,M,1,1,2,2,80056,68
Bury,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,40
Lebanon,Bachelors,Manual,M,M,0,0,1,1,36070,38
Hobart,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,41
Wollongong,Partial College,Management,M,S,0,1,0,0,112726,26
Runcorn,Partial College,Manual,M,M,1,1,0,2,29749,54
Coronado,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,47
Redwood City,Partial College,Management,F,S,1,3,0,0,102647,55
Solingen,Partial College,Clerical,F,S,0,2,0,0,82258,29
Sedro Woolley,High School,Skilled Manual,M,M,1,1,2,2,54200,48
Oakland,Partial College,Skilled Manual,F,S,0,2,0,0,60908,29
Hawthorne,Bachelors,Management,M,S,1,2,0,0,105007,38
Sedro Woolley,High School,Manual,F,M,1,0,1,1,32319,48
Gold Coast,Partial College,Skilled Manual,M,S,0,1,0,0,52311,43
Port Hammond,Partial College,Clerical,F,S,1,2,0,0,82851,44
Olympia,High School,Manual,M,M,1,1,2,2,29111,54
Villeneuve-d'Ascq,Graduate Degree,Clerical,M,M,1,1,1,1,81985,37
Wollongong,Partial High School,Manual,F,S,1,0,0,0,33954,56
Kirkland,Partial College,Manual,F,S,0,0,0,0,29016,29
West Covina,High School,Manual,F,M,1,0,1,2,33152,58
Chula Vista,Graduate Degree,Clerical,M,M,1,1,2,2,80331,67
Braunschweig,Bachelors,Clerical,F,S,1,1,1,1,79235,59
Kassel,Graduate Degree,Manual,F,S,0,1,0,0,35390,35
Lincoln Acres,Graduate Degree,Professional,M,S,0,3,0,0,136457,31
Wollongong,High School,Skilled Manual,F,S,1,1,0,0,53549,52
Cloverdale,Partial College,Clerical,F,M,1,0,1,2,85674,44
Lynnwood,Bachelors,Professional,M,M,1,3,0,2,129242,58
Seattle,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,49
Torrance,Bachelors,Management,M,S,1,3,0,0,111980,40
Bottrop,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,37
Bottrop,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,37
Tremblay-en-France,Partial College,Management,F,S,1,3,0,0,106648,48
