Rank,Title,Year,IMDB Rating
1,1. The Shawshank Redemption,1994,"9.3
 (3.1M)"
2,2. The Godfather,1972,"9.2
 (2.2M)"
3,3. The Dark Knight,2008,"9.1
 (3.1M)"
4,4. The Godfather Part II,1974,"9.0
 (1.4M)"
5,5. 12 Angry Men,1957,"9.0
 (946K)"
6,6. The Lord of the Rings: The Return of the King,2003,"9.0
 (2.1M)"
7,7. Schindler's List,1993,"9.0
 (1.5M)"
8,8. Pulp Fiction,1994,"8.8
 (2.4M)"
9,9. The Lord of the Rings: The Fellowship of the Ring,2001,"8.9
 (2.1M)"
10,"10. The Good, the Bad and the Ugly",1966,"8.8
 (866K)"
11,11. Forrest Gump,1994,"8.8
 (2.4M)"
12,12. The Lord of the Rings: The Two Towers,2002,"8.8
 (1.9M)"
13,13. Fight Club,1999,"8.8
 (2.5M)"
14,14. Inception,2010,"8.8
 (2.7M)"
15,15. Star Wars: Episode V - The Empire Strikes Back,1980,"8.7
 (1.5M)"
16,16. The Matrix,1999,"8.7
 (2.2M)"
17,17. Goodfellas,1990,"8.7
 (1.3M)"
18,18. Interstellar,2014,"8.7
 (2.4M)"
19,19. One Flew Over the Cuckoo's Nest,1975,"8.7
 (1.1M)"
20,20. Se7en,1995,"8.6
 (1.9M)"
21,21. It's a Wonderful Life,1946,"8.6
 (534K)"
22,22. The Silence of the Lambs,1991,"8.6
 (1.7M)"
23,23. Seven Samurai,1954,"8.6
 (390K)"
24,24. Saving Private Ryan,1998,"8.6
 (1.6M)"
25,25. The Green Mile,1999,"8.6
 (1.5M)"
26,26. City of God,2002,"8.6
 (848K)"
27,27. Life Is Beautiful,1997,"8.6
 (789K)"
28,28. Terminator 2: Judgment Day,1991,"8.6
 (1.2M)"
29,29. Star Wars: Episode IV - A New Hope,1977,"8.6
 (1.5M)"
30,30. Back to the Future,1985,"8.5
 (1.4M)"
31,31. Spirited Away,2001,"8.6
 (928K)"
32,32. The Pianist,2002,"8.5
 (982K)"
33,33. Gladiator,2000,"8.5
 (1.8M)"
34,34. Parasite,2019,"8.5
 (1.1M)"
35,35. Psycho,1960,"8.5
 (762K)"
36,36. The Lion King,1994,"8.5
 (1.2M)"
37,37. Grave of the Fireflies,1988,"8.5
 (360K)"
38,38. The Departed,2006,"8.5
 (1.5M)"
39,39. Whiplash,2014,"8.5
 (1.1M)"
40,40. Harakiri,1962,"8.6
 (83K)"
41,41. The Prestige,2006,"8.5
 (1.5M)"
42,42. American History X,1998,"8.5
 (1.2M)"
43,43. Léon: The Professional,1994,"8.5
 (1.3M)"
44,44. Spider-Man: Across the Spider-Verse,2023,"8.5
 (477K)"
45,45. Casablanca,1942,"8.5
 (639K)"
